Výrok;Vyhodnotenie;Odôvodnenie;Oblast;Dátum;Meno;"Politická strana"
"Okrem toho, samozrejme, do výdavkov firiem sa dostávame, tých veľkých firiem, sa dostával takzvaný odvod z regulovaných odvetví, ktorý sa plní na 100%, je to vyše 100 miliónov eur.";Neoveritelné;"Demagog.SK nevie zistiť ako sa očakávania výberu osobitného daňového odvodu vyvíjajú, a teda aj či sa napĺňajú na 100 %. Výrok preto hodnotíme ako neoveriteľný.Dňa 1. septembra 2012 nadobudol účinnosť zákon č. 235/2012 Z.z. o osobitnom odvode z podnikania v regulovaných odvetviach, ktorý uložil firm";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Opäť zdroj Štatistický úrad, ktorý avizoval v druhom štvrťroku pokles ziskovosti firiem o 12%.";Zavádzajúce;"Minister financií uvádza pokles ziskovosti firiem o 12 %, pričom len finančné korporácie (banky, poisťovne, správcovské spoločnosti) zaznamenali v 2. štvrťroku 2013 pokles ziskovosti o 12,8 %. Ziskovosť nefinančných korporácií (podnikateľské subjekty okrem peňažníctva a poisťovníctva) pokl";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Sme robili rozpočet (na rok 2013, pozn.) na raste 1,7% HDP. Vtedy Nemecko malo takisto povedzme 2%-ný rast plánovaný";Nepravda;"Výrok hodnotíme ako nepravdivý, pretože Kažimír neuvádza presné čísla ani v prípade očakávaného rastu na rok 2013 pre Slovensko, ktorý predpokladal rozpočet, ani pre Nemecko. Podľa vládneho návrhu zákona o štátnom rozpočte na rok 2013 z októbra 2012 (s. 2) vláda počítala s rastom HDP na rok 201";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"V roku 2008 sa vyberala DPH na tej istej úrovni ako teraz. Pričom od vtedy máme rast 13%-ný rast domáceho produktu.";Nepravda;"Aj pokiaľ by sme však považovali objem príjmov z DPH v rokoch 2008 a 2012 za dostatočne podobné, nemožno výrok označiť za pravdivý, keďže hrubý domáci produkt sa medzi rokmi 2008 a 2012 nezvýšil o spomínaných 13 %. A to aj v prípade ak meriame HDP viacerými metódami. Výrok hodnotíme ako nepravdivý.P";Ekonomika;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"37% DPH, 37% dane z pridanej hodnoty sa nevyberá.";Pravda;"V štúdii Study to quantify and analyse the VAT Gap (.pdf) z júla 2013, ktorú si nechala vypracovať Európska komisia sa v časti venovanej Slovensku (strany 80-81) uvádza, že  v roku 2011 sa nevybralo 37% DPH. Poslanec Štefanec teda uvádza presné čísla a jeho výrok hodnotíme ako pravdiv";Ekonomika;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"Augustová nezamestnanosť je 13,7%.";Nepravda;"Podľa časového radu IFP je disponibilná nezamestnanosť 14,1 % a evidovaná nezamestnanosť na úrovni 15,3 %. Eurostat nemá augustové čísla. Júlová nezamestnanosť bola na úrovni 14,3 %. Demagog.SK pri overovaní používa údaje Eurostat a taktiež časové rady Inštitútu finančnej politiky. IFP vedie se";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Dostávame sa k číslam, ktoré hovoria o raste reálnych miezd po dvoch rokoch, hovoria o domácej spotrebe oživenej v druhom štvrťroku tohto roka vo výške 1,6%, čo je najväčšie číslo od roku 2009.";Pravda;"Reálne mzdy skutočne po dvoch rokoch narástli a oživila sa i spotreba domácností o 1,5 %, pričom išlo o prvý nárast od tretieho štvrťroka 2009. Kažimír uvádza pri domácej spotrebe o 0,1 p.b. vyššie číslo. Výrok napriek miernej odchýlke hodnotíme ako pravdivý.O raste reálnych miezd informuje správa I";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"2007 sme mali hospodársky rast cez 10%, v 2008 ešte tiež.";Nepravda;"Podľa údajov Eurostat hospodársky rast Slovenskej republiky bol v roku 2007 nad 10 % HDP. V roku 2008 však hospodársky rast nepresiahol hranicu 10 % HDP a bol výrazne nižší. Ani v žiadnom štvrťroku 2008 nebol rast viac ako 10 % HDP. Výrok hodnotíme ako nepravdivý. Uvádzame údaje Euros";Ekonomika;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"Tie čísla (o zlepšení výberu daní, pozn.) sú zlepšenia oproti júnovej prognóze, ale nie oproti rozpočtu. Oproti rozpočtu stále na dani z pridanej hodnoty sa vyberie menej.";Pravda;"Je pravdou, že zlepšenie výberu daní o 132 mil. eur je oproti júnovej prognóze IFP. Septembrová prognóza predpokladá nižší výber DPH oproti plánovanému výberu o 38 mil. eur v roku 2013.Daňová prognóza IFP za september 2013 skutočne hovorí o zvýšení odhadu výberu daní. Odhad celkových výberov daní a";Ekonomika;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"V 2006 začalo klesať (výber DPH, pozn.), aby sme boli jasní.  Za prvej Ficovej vlády začal výrazný pokles efektívnosti výberu DPH a skutočne až od druhej polovice 2011 sa stabilizuje.";Pravda;"I. Štefanec reaguje na grafické znázornenie výberu DPH, vypracované IFP. Správne uvádza, že v roku 2006 možno registrovať prvý pokles a od druhej polovice 2011 sa situácia stabilizovala.Podľa analýzy Inštitútu finančnej politiky (ďalej IFP) úspešnosť výberu daní medzi rokmi 2005 - 2006 stagnovala. A";Ekonomika;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"A dnes vieme povedať, že v tomto roku máme lepší, efektívnejší výber dane z pridanej hodnoty o 120 miliónov eur.";Neoveritelné;"Demagog.SK nevie z údajov MF SR a IFP zistiť, či v skutočnosti ide o zlepšenie efektívneho výberu DPH od začiatku roka o 120 mil. eur. Tlačová správa MF SR uvádzala 26. septembra 2013, že celkovo sa v roku 2013 zlepšila efektivita výberu DPH o 120 mil. eur.Podobne informujú aj Hospodárske novin";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Čísla hovoria o tom, že keby sme dostali úspešnosť výberu aspoň na Európsku úroveň, európsky priemer, tak by sme mali v štátnej kase o 1,3 miliardy eur viac.";Pravda;"Podľa Analýzy IFP z marca 2012, ak by sme sa dostali v úspešnosť výberu DPH na európsku úroveň výberu dane by bol o 1,1 mld. vyšší. Náš prepočet zo štúdie výberu daní (vypracovaná pre EK v roku 2013) ukazuje, pri dosiahnutí európskej úrovne výberu DPH o 1,4 mld vyšší výber DPH. Peter Kažímír hovorí";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Ak hovoríte o danej analýze (analýza EK o výbere daní za rok 2011, pozn.), tak áno, sme na štvrtom mieste. Boli sme už aj na druhom mieste po Grécku.";Pravda;"Je pravdou, že podľa aktuálnej štúdie analyzujúcej medzeru vo výbere DPH, malo Slovensko 4. najhorší výber DPH. Ja tiež pravdou, že podľa staršej štúdie, v roku 2006 bolo horšie vo výbere DPH len Grécko. Výrok hodnotíme ako pravdivý.Podľa štúdie Study to quantify and analyse the VAT Gap in&nbsp";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Hlavne sa teším z toho, že sa nám podarilo po 10 rokoch obrátiť trend (zlého výberu DPH, pozn.). Od roku 2005 nám o 20% prepadla úspešnosť hlavne výberu dane z pridanej hodnoty.";Zavádzajúce;"P. Kažimír správne uvádza prepad úspešnosti výberu DPH od roku 2005 o 20 %. Nesprávne však uvádza, že trend klesajúceho výberu DPH sa obrátil po desiatich rokoch. Podľa IFP išlo o sedem ročný trend. Výrok vzhľadom na nepresnosť hodnotíme ako zavádzajúci.Podľa komentáru IFP zo sep";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Len na úroky, pán kolega, nie na istinu, 1 miliarda 400 miliónov ide na budúci rok.";Pravda;"Je pravdou, že na rozpočet v roku 2013 pripadá na úroky položka 1,4 miliardy eur. Táto suma zároveň tvorí významnú položku štátneho rozpočtu. Podľa Rady pre rozpočtovú zodpovednosť: ""V roku 2013 plánuje verejná správa minúť spolu 27,6 miliardy eur. Bezmála polovica z tejto sumy p";Iné;;"Ján Figeľ";"Kresťanskodemokratické hnutie"
"Akcionárska zmluva hovorí o takzvanej osobitnej väčšine, kde stačí jeden z tých troch a už to máte.";Pravda;"Je pravdou, že nová akcionárska zmluva hovorí o ""osobitnej väčšine"", čo je v prípade predstavenstva SPP päť. Štát má troch zástupcov a EPH štyroch zástupcov. Inými slovami, ak jeden z troch zástupcov štátu by hlasoval s predstaviteľmi EPH tak by hlasovanie bolo úspešné osobitnou väčšinou.V článku 7.";"Legislatívny proces a hlasovania";;"Ján Figeľ";"Kresťanskodemokratické hnutie"
"To je v rokovacom poriadku, že sa dá obmedziť rokovací čas alebo čas na vystúpenia.";Pravda;"Rokovací poriadok skutočne umožňuje obmedziť čas na vystúpenia tým, že minimálne dva poslanecké kluby navrhnú, obmedziť dĺžku času na rozpravu. Tento čas sa pomerne rozloží na všetky poslanecké kluby. Minimálna dĺžka je 12 hodín. Výrok hodnotíme ako pravdivý.§ 29aUrčenie dĺžky času na rozpravu(1) Ná";"Legislatívny proces a hlasovania";;"Ján Figeľ";"Kresťanskodemokratické hnutie"
"My sa pohybujeme (úroveň verejného dlhu) na úrovni 54, 55% HDP.";Pravda;"Slovensko malo podľa Eurostat v prvom štvrťroku 2013 verejný dlh na úrovni 54,9% HDP. Výrok hodnotíme ako pravdivý.";Ekonomika;;"Robert Fico";"SMER - sociálna demokracia"
"Na tých úsekoch (diaľničné úseky, pozn.), ktoré už bežia, je rozdiel oproti vami podpísaným cenám 700 miliónov eur.";Neoveritelné;"Podobné tvrdenia ohľadom rozdielu v cenách stavieb diaľnic medzi súčasnou koalíciou a opozíciou sme v minulosti overovali už viackrát (V politike, 23. októbra 2011, V politike 19. február 2012,V politike 26. február 2012, Na telo 6. marec 2012). Objektívne nie je m";Doprava;;"Ján Figeľ";"Kresťanskodemokratické hnutie"
"Po prvé sme zagarantovali dividendovú politiku. My presne teraz vieme, aké dividendy bude štát dostávať v nasledujúcich rokoch a na tom môžeme stavať aj štátny rozpočet.";Pravda;"Tvrdenie Róberta Fica je pravdivé, za päť rokov budú vyplatené dividendy v minimálnej výške 600 mil. eur. Tie sa budú deliť na základe podielu akcionárov. Materiál z rokovania vlády z 12. decembra 2012 (.doc):""
Veľmi dôležitou
kapitolou, v rámci ktorej došlo k
zlepšeniu pozície Slovenskej republiky";Iné;;"Robert Fico";"SMER - sociálna demokracia"
"Alebo napríklad pri riešení sporov sa už nevychádza podľa slovenského práva, ale podľa anglického.";Zavádzajúce;"V novej akcionárskej zmluve sa riešenie sporov riadi podľa anglického práva, tak ako uvádza Figeľ. V starej akcionárskej zmluve sa tiež riadilo podľa anglického práva, no v prípade ak nešlo o záväzné ustanovenia právneho poriadku SR a medzinárodných zmlúv. V skutočnosti, sa tak stará akcionárska zml";Iné;;"Ján Figeľ";"Kresťanskodemokratické hnutie"
"Máte v predstavenstve 7 ľudí a z toho máte 4 za menšinového akcionára a 3 máte za väčšinového akcionára, traja sú za štát a štyria sú za menšieho akcionára.";Pravda;"Robert Fico správne uvádza zloženie predstavenstva SPP, čo dokazuje nová akcionárska zmluva z decembra 2012, kde sa v časti sedem týkajúcej sa Predstavensta píše v článku dva: 'Pokiaľ Investor vlastní aspoň štyridsaťosem celých deväť desatín percent (48,9 %) akcií, je oprávnený navrhnúť štyroch";Iné;;"Robert Fico";"SMER - sociálna demokracia"
"Veď váš minister (Malatinský, pozn.) bol proti tomu (prevzatiu matky SPP, pozn.) ešte deň predtým.";Nepravda;"Výrok Jána Figeľa hodnotíme ako nepravdivý, pretože jeden deň pred 4. septembrom, kedy vláda chválila prevzatie matky SPP sa nevyjadroval proti kúpe. Skôr bol za kúpu, ktorú však podmienil dobrými vyrokovanými podmienkami. Inými slovami, deň pred schválením vlády nebol proti, skôr nerozhodný.Tomáš M";Iné;;"Ján Figeľ";"Kresťanskodemokratické hnutie"
"Zaujímavé je, že keď sme to vo vláde schválili (prebratie SPP, pozn.) a urobili sme tlačovú konferenciu, bolo úplné ticho, týždeň.";Nepravda;"Podobný výrok hovoril R. Fico  aj v relácií O5M12 15. septembra 2013.Premiér Robert Fico nehovorí pravdu ak tvrdí, že opozícia sa začala o prevzatie 100% akcií SPP nezaujímala týždeň po tlačovej konferencii po rokovaní vlády 4. septembra 2013. Tlačová konferencia o odkúpení SPP s";Iné;;"Robert Fico";"SMER - sociálna demokracia"
"Bola to pravicová vláda, ktorá dala hlinikáreň v Žiari nad Hronom Pente. Bola to pravicová vláda, ktorá dala paroplynový cyklus Pente.";Pravda;"Privatizácia Paroplynového cyklu bola schválená v roku 2004 druhou Dzurindovou vládou, kedy spoločnosť PPC Holding ovládaná Pentou podnik získala z dôvodu poskytnutia najvyššej sumy.Ako uvádza Denník SME,hlinikáreň Žiar nad Hronom bola sprivatizovaná v roku 2002 skupinou Penta.";Iné;;"Robert Fico";"SMER - sociálna demokracia"
"Transpetrol sme kúpili naspäť do rúk štátu, ale bolo to v rokoch, kedy štát na to mal peniaze, to bolo v roku 2009 alebo 2008.";Pravda;"Sloveská republika odkúpila 49% balík akcií od ruského koncernu Jukos 26. marca 2009. Za 49% podiel Slovensko zaplatilo 240 miliónov USD (180,52 milióna eur). Prevod akcií bol schválený Protimonopolným úradom SR a Fondom národného majetku SR.";Ekonomika;;"Robert Fico";"SMER - sociálna demokracia"
"V decembri tohto roku my (Slovensko, pozn.) sme mali predkupné právo (na 49% SPP, pozn.). Občania to môžu nájsť na rokovania.sk, 12.12.2012, vláda Slovenskej republiky sa rozhodla neuplatniť.";Pravda;"Ján Figeľ má na mysli december 2012 namiesto ""v decembri tohto roku"". Je pravdou, že slovenská strana mala predkupné právo, no na základe analýzy výhodnosti MF SR, sa vláda nezhodla predkupné právo nevyužiť. Výrok hodnotíme ako pravdivý. Podľa materiálu programu rokovania vlády SR zo dňa
12.dec";Iné;;"Ján Figeľ";"Kresťanskodemokratické hnutie"
"Keď sme vstúpili do matky a ovládli sme matku, súčasťou toho, ako sme ovládli matku, bolo, že sme ovládli aj takzvaný rezervný plyn v objeme 170 miliónov eur.";Pravda;"Je pravdou, že štát získa tvz. rezervný plyn v hodnote 170 miliónov eur. Rezerva pripadla štátu ako výsledok rokovania medzi štátom a EHP, pri prebratí 49% akcií matky SPP. Štát preberie polovicu dlhu, ale získa plynové rezervy. Fico avizoval, že chce túto rezervu použiť na vykrytie s";Iné;;"Robert Fico";"SMER - sociálna demokracia"
"A už v roku 2012 boli podané proti Slovenskej republike arbitrážne konania v objeme viac ako 200 miliónov eur.";Nepravda;"Suma, o ktorú malo ísť v arbitrážach je 200 mil. eur. Žiadna správa nehovorí o sume viac ako 200 mil. eur. Aj tlačová správa Úradu práce hovorí o sume 200 mil. eur, nie viac ako 200 mil. eur. Výrok hodnotíme ako nepravdivý. V roku 2012 boli proti Slovenskej republike vedené arbitrážne konania p";Iné;;"Robert Fico";"SMER - sociálna demokracia"
"Keď ste prvýkrát začínali, bolo to (verejný dlh, pozn.) na úrovni 28%.";Nepravda;"Ján Figeľ uvádza nesprávnu výšku dlhu v čase keď R. Fico prvýkrát zostavil vládu v roku 2006. Verejný dlh bol v roku 2006 na úrovni 30,5 % HDP. Podľa štvrťročných údajov (2. štvrťrok 2006) vyše 33% HDP. Verejný dlh bol na úrovni 27,9 % HDP, čiže takmer 28 % HDP v roku 2008, teda v druhom roku prvej";Ekonomika;;"Ján Figeľ";"Kresťanskodemokratické hnutie"
"Priemerný dlh v eurozóne je vyšší ako 80% a niektoré krajiny v Európe majú viac ako 100%.";Pravda;"Rovnaký výrok povedal R. Fico aj v relácií O5M12 15. septembra 2013.R. Fico správne uvádza najaktuálnejšie údaje. Podľa nich je priemerný dlh v eurozóne a v Európskej únii je vyšší ako 80 %. Taktiež správne uvádza, že sú krajiny, ktoré majú verejný dlh nad úrovňou 100 % HDP.Verejný dlh eur";Ekonomika;;"Robert Fico";"SMER - sociálna demokracia"
"Náš dlh je jeden z najrýchlejšie rastúcich v rámci eurozóny.";Pravda;"Slovensko skutočne patrí podľa dát Eurostatu medzi krajiny s najrýchlejšie rastúcim dlhom v eurozóne. Hoci malo za rok 2012 jeden z troch najnižších dlhov v Eurozóne (nižšie majú už len Estónsko a Luxembursko), patrilo medzi krajiny kde medziročný nárast dlhu bol jedným z najvyšších. S nár";Ekonomika;;"Ján Figeľ";"Kresťanskodemokratické hnutie"
"Slovensko má tretí najnižší verejný dlh v eurozóne.";Nepravda;"Podobný výrok sme overovali už v minulosti. Ani vtedy nehovoril pravdu (V politike, 30. júna 2013; V politike, 15. septembra 2013)Predseda vlády používa staré údaje za rok 2012, ktoré hovoria o tom, že Slovensko má tretí najnižší dlh v eurozóne. Podľa novších údajov je verejný dlh Slovenska až";Ekonomika;;"Robert Fico";"SMER - sociálna demokracia"
"Verejný dlh klesal za druhej vlády Mikuláša Dzurindu.";Pravda;"Je pravdou, že počas druhej vlády M. Dzurindu verejný dlh Slovenska klesal. Uvádzame grafické znázornenie vývoja verejného dlhu od roku 2000 štvrťročne (Údaje Eurostat). ";Ekonomika;;"Ján Figeľ";"Kresťanskodemokratické hnutie"
